rk,id,player,pos,team,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,last3_share,last3_per_gp,last3_rec,last3_tgt,total_share,total_per_gp,total_rec,total_tgt
263,23010,Brock Wright,TE,DET,1,0,5,2,,1,0,1,1,0,1,2,1,1,0,0,0,0,0.0,0.0,0,0,2.9,0.9,13,16
264,24278,Hunter Luepke,RB,DAL,2,0,3,2,1,0,,0,2,1,,1,0,1,0,2,1,0,3.1,1.0,1,3,2.8,1.0,12,16
265,25063,Isaac Guerendo,RB,SF,0,0,0,0,0,0,1,4,,0,0,0,1,2,4,,4,0,4.8,2.0,4,4,3.2,1.0,15,16
266,21721,Devin Duvernay,WR,JAX,0,0,1,0,0,,,,,0,2,,4,3,4,1,1,0,2.2,0.7,2,2,3.7,1.2,11,16
267,24686,Nate Adkins,TE,DEN,0,1,1,1,1,1,0,1,0,0,1,0,1,,1,2,1,3,6.0,2.0,6,6,2.6,0.9,14,15
268,24325,Johnny Wilson,WR,PHI,1,1,2,2,,0,0,0,0,1,0,1,,1,1,0,0,5,5.7,1.7,3,5,3.5,0.9,5,15
269,17923,Ezekiel Elliott,RB,DAL,2,3,2,1,1,0,,1,,0,3,0,0,1,1,0,0,,0.0,0.0,0,0,2.7,1.0,12,15
270,25133,Bub Means,WR,NO,1,0,,0,0,8,5,1,,,,,,,,,,,2.4,1.0,0,0,6.5,2.1,9,15
271,21045,Marquise Brown,WR,KC,,,,,,,,,,,,,,,,8,7,,19.0,7.5,9,15,19.0,7.5,9,15
272,23341,Tyler Goodson,RB,IND,,1,0,0,3,5,0,1,0,3,0,0,0,,0,0,0,2,2.2,0.7,1,2,3.0,0.9,11,15
273,24309,Emanuel Wilson,RB,GB,3,0,2,1,1,2,0,2,1,,0,0,0,0,0,1,0,1,2.4,0.7,2,2,2.9,0.8,11,14
274,23608,Drew Ogletree,TE,IND,0,2,0,1,1,2,1,0,0,1,1,1,2,,0,1,0,1,2.2,0.7,1,2,2.7,0.8,9,14
275,20788,Mecole Hardman,WR,KC,0,0,0,0,4,,2,1,3,1,3,0,0,,,,,,0.0,0.0,0,0,3.3,1.2,12,14
276,23158,Jermaine Burton,WR,CIN,0,2,0,0,0,,0,3,,5,4,,0,0,0,0,0,,0.0,0.0,0,0,2.6,1.0,4,14
277,19035,Eric Saubert,TE,SF,1,2,2,0,0,0,0,0,,0,1,1,0,1,0,1,0,5,4.9,2.0,5,6,2.6,0.8,11,14
278,25134,Brevyn Spann-Ford,TE,DAL,0,1,0,0,3,0,,2,0,0,5,2,0,0,1,0,0,0,0.0,0.0,0,0,2.2,0.8,9,14
279,15150,Cordarrelle Patterson,RB,PIT,0,0,5,2,,,,,,0,1,0,3,1,1,1,0,0,1.0,0.3,1,1,3.6,1.1,12,14
280,24151,Payne Durham,TE,TB,0,0,1,0,0,0,,0,0,0,,1,0,0,0,7,3,2,11.2,4.0,9,12,2.7,0.9,11,14
281,17218,DeAndre Carter,WR,CHI,2,4,6,0,0,0,,1,0,1,0,0,0,0,,,,,0.0,0.0,0,0,3.2,1.1,9,14
282,23364,Jordan Mason,RB,SF,1,1,2,3,1,2,2,0,,0,0,2,0,,,,,,0.0,0.0,0,0,4.0,1.2,11,14
283,25124,Ryan Flournoy,WR,DAL,,,,,0,1,,0,2,0,3,0,,1,,3,2,2,7.1,2.3,6,7,3.3,1.3,10,14
284,23250,Tyler Allgeier,RB,ATL,0,1,0,2,3,1,1,0,0,0,1,,1,0,0,1,0,2,3.0,1.0,3,3,2.3,0.8,13,13
285,22657,John Bates,TE,WAS,1,1,0,1,0,0,0,2,0,0,3,1,0,,1,1,1,1,2.8,1.0,1,3,2.5,0.8,8,13
286,24362,Malik Heath,WR,GB,,0,0,2,3,0,0,0,,,0,2,0,0,,,1,5,10.9,3.0,4,6,3.7,1.0,10,13
287,19843,Hayden Hurst,TE,LAC,3,2,2,3,,0,,,1,1,,,,,,1,,0,1.5,0.5,1,1,5.4,1.4,8,13
288,23192,Chris Brooks,RB,GB,,,0,0,0,0,0,1,4,,2,1,2,0,1,1,0,1,2.4,0.7,1,2,3.0,0.9,11,13
289,18935,Gerald Everett,TE,CHI,1,3,1,0,2,1,,2,1,0,0,0,0,0,0,1,1,0,2.0,0.7,1,2,2.3,0.8,8,13
290,24148,Davis Allen,TE,LAR,1,,,0,1,,0,0,3,6,0,1,0,0,0,0,1,0,1.1,0.3,0,1,2.6,0.9,6,13
291,16866,Jamison Crowder,WR,WAS,1,,0,,,,,,,,,,,,3,4,5,0,8.5,3.0,5,9,7.1,2.2,9,13
292,22604,Tylan Wallace,WR,BAL,0,0,0,0,2,0,0,0,0,3,1,1,2,,1,0,1,1,2.8,0.7,1,2,2.5,0.7,11,12
293,20819,Alec Ingold,FB,MIA,1,0,3,0,0,,1,3,0,,,0,2,0,0,0,0,2,2.0,0.7,2,2,2.3,0.8,11,12
294,23310,Greg Dulcich,TE,DEN,3,8,0,1,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,3.8,1.3,5,12
295,21765,JaMycal Hasty,RB,NE,0,0,0,1,0,2,5,0,1,1,0,2,0,,0,,0,,0.0,0.0,0,0,2.6,0.8,10,12
296,22119,Charlie Woerner,TE,ATL,2,0,0,0,0,0,0,1,0,1,,,1,1,3,2,1,0,3.0,1.0,1,3,2.3,0.8,7,12
297,19304,Pharaoh Brown,TE,SEA,,,2,2,1,0,0,0,0,,0,2,1,2,0,1,1,0,2.2,0.7,2,2,2.3,0.8,8,12
298,24194,Sean Tucker,RB,TB,0,0,0,1,0,3,2,1,1,0,,1,0,2,0,0,1,0,0.9,0.3,1,1,2.1,0.7,9,12
299,25064,Isaiah Davis,RB,NYJ,0,0,0,0,0,0,0,0,0,1,0,,3,6,1,0,1,0,0.9,0.3,1,1,2.0,0.7,9,12
300,20679,KhaDarel Hodge,WR,ATL,0,0,0,0,2,0,0,0,2,0,2,,0,0,0,0,4,2,6.0,2.0,2,6,2.1,0.7,7,12
301,21783,Harrison Bryant,TE,LV,0,1,0,2,0,5,2,,2,,,,,0,0,0,0,0,0.0,0.0,0,0,2.5,0.9,9,12
302,18032,Tyler Higbee,TE,LAR,,,,,,,,,,,,,,,,2,3,7,13.0,4.0,8,12,13.0,4.0,8,12
303,23193,Tank Bigsby,RB,JAX,0,0,0,0,1,0,1,3,0,0,,,1,2,1,1,1,1,3.2,1.0,2,3,2.3,0.8,7,12
304,19065,Jeremy McNichols,RB,WAS,0,0,0,1,0,0,0,0,1,0,1,0,0,,2,4,3,0,6.6,2.3,6,7,2.3,0.7,9,12
305,21686,Jalen Reagor,WR,LAC,,,,,,,1,2,2,1,1,4,0,1,,,,,3.3,1.0,0,0,5.0,1.5,7,12
306,16837,Chris Conley,WR,SF,0,1,0,2,,0,2,1,,,0,1,0,0,0,0,1,4,4.1,1.7,5,5,2.6,0.8,6,12
307,23195,Eric Gray,RB,NYG,1,0,0,0,4,0,1,1,0,0,,2,0,0,0,1,0,1,2.2,0.7,2,2,1.9,0.6,10,11
308,23166,Rakim Jarrett,WR,TB,,,,,,,,3,1,4,,1,0,0,0,1,1,0,1.9,0.7,2,2,3.3,1.1,9,11
309,21823,Patrick Taylor Jr.,RB,SF,0,0,0,0,0,1,0,0,,,,,,1,0,5,0,4,7.3,3.0,2,9,2.6,0.8,3,11
310,19798,Nick Chubb,RB,CLE,,,,,,,3,2,1,,0,1,2,1,1,,,,2.9,1.0,0,0,3.2,1.4,5,11
311,23135,Charlie Kolar,TE,BAL,0,1,1,0,4,0,1,2,0,1,0,1,,,,,,0,0.0,0.0,0,0,2.9,0.8,9,11
312,22553,Michael Carter,RB,ARI,,,,,,,,,,,,,,,,5,2,4,9.6,3.7,11,11,9.6,3.7,11,11
313,22563,Khalil Herbert,RB,CHI,0,2,0,0,0,0,,,,0,0,,0,1,0,0,0,8,6.4,2.7,7,8,2.0,0.8,10,11
314,18926,Zay Jones,WR,ARI,,,,,,,1,1,0,0,,0,0,2,1,0,1,5,5.2,2.0,5,6,2.9,1.0,8,11
315,18995,Jamaal Williams,RB,NO,1,0,3,2,0,0,0,0,,,,,1,2,0,0,1,1,1.9,0.7,2,2,2.4,0.8,9,11
316,24939,Carson Steele,FB,KC,0,0,2,3,0,,0,1,0,0,1,2,0,0,0,0,0,2,2.1,0.7,2,2,1.8,0.6,7,11
317,24472,Xavier Gipson,WR,NYJ,0,0,2,4,0,0,0,1,0,1,1,,1,0,0,0,0,0,0.0,0.0,0,0,1.6,0.6,6,10
318,20487,Brandon Powell,WR,MIN,0,2,2,2,0,,0,0,1,0,1,0,1,0,1,0,0,0,0.0,0.0,0,0,1.8,0.6,7,10
319,24150,Luke Musgrave,TE,GB,2,1,1,3,,,,,,,,,,,,1,1,1,3.5,1.0,2,3,4.8,1.4,7,10
320,19816,DJ Chark,WR,LAC,,,,,,,,,,0,,,0,1,2,0,4,3,6.5,2.3,1,7,4.7,1.4,4,10
321,16903,MyCole Pruitt,TE,PIT,2,0,,,,,0,1,,1,,0,3,1,0,2,0,0,2.0,0.7,1,2,2.9,0.8,6,10
322,16928,Michael Burton,FB,DEN,1,1,0,1,1,0,0,1,0,0,1,1,0,,0,3,0,0,3.0,1.0,3,3,1.8,0.6,10,10
323,21263,Trenton Irwin,WR,CIN,2,6,,,,0,,1,1,0,0,,,,,,,,0.0,0.0,0,0,3.6,1.4,3,10
324,20081,Trent Sherfield Sr.,WR,MIN,0,2,1,1,0,,0,1,1,1,1,0,0,0,1,0,0,0,0.0,0.0,0,0,1.6,0.5,8,9
