rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
129,24217,Trey Palmer,TB,WR,22,12,172,1,5.2,1.4,92.3,3,1,33.3,14.3,7.8,1.0,1,4.5
130,24471,Ryan Miller,TB,WR,20,12,128,2,5.4,1.4,100.0,4,2,50.0,10.7,6.4,1.2,2,10.0
131,16389,Odell Beckham Jr.,MIA,WR,19,9,55,0,4.8,1.0,81.8,5,1,20.0,6.1,2.9,0.5,1,5.3
132,24125,Jalin Hyatt,NYG,WR,19,8,62,0,5.2,0.8,72.7,6,3,50.0,7.8,3.3,0.3,2,10.5
133,21714,K.J. Osborn,WAS,WR,18,7,57,1,4.8,0.9,77.8,4,1,25.0,8.1,3.2,0.4,1,5.5
134,24121,Derius Davis,LAC,WR,17,13,112,2,5.6,2.8,100.0,1,1,100.0,8.6,6.6,1.9,0,0.0
135,24339,Jake Bobo,SEA,WR,17,13,107,1,5.2,1.8,92.8,3,3,100.0,8.2,6.3,0.7,1,5.9
136,23482,Bo Melton,GB,WR,17,8,91,0,5.0,1.3,80.0,4,1,25.0,11.4,5.3,1.1,0,0.0
137,23468,Michael Woods II,CLE,WR,17,7,65,0,4.5,0.9,233.3,0,0,,9.3,3.8,0.7,0,0.0
138,22645,Simi Fehoko,LAC,WR,16,6,106,0,5.8,0.5,85.7,5,1,20.0,17.7,6.6,0.9,0,0.0
139,21721,Devin Duvernay,JAX,WR,16,11,79,0,5.6,1.9,100.0,3,1,33.3,7.2,4.9,0.7,0,0.0
140,25133,Bub Means,NO,WR,15,9,118,1,4.8,1.2,81.8,1,1,100.0,13.1,7.9,1.4,2,13.3
141,24325,Johnny Wilson,PHI,WR,15,5,38,1,6.0,0.8,71.4,3,0,0.0,7.6,2.5,0.3,0,0.0
142,21045,Marquise Brown,KC,WR,15,9,91,0,5.5,1.3,180.0,0,0,,10.1,6.1,6.1,0,0.0
143,25124,Ryan Flournoy,DAL,WR,14,10,102,0,5.1,1.6,100.0,1,0,0.0,10.2,7.3,1.2,0,0.0
144,20788,Mecole Hardman,KC,WR,14,12,90,0,4.3,2.9,100.0,0,0,,7.5,6.4,1.4,0,0.0
145,17218,DeAndre Carter,CHI,WR,14,9,72,0,6.2,1.4,100.0,0,0,,8.0,5.1,0.9,0,0.0
146,23158,Jermaine Burton,CIN,WR,14,4,107,0,4.2,0.6,80.0,3,0,0.0,26.8,7.6,1.2,0,0.0
147,24362,Malik Heath,GB,WR,13,10,97,2,5.8,1.8,90.9,3,2,66.7,9.7,7.5,1.7,0,0.0
148,16866,Jamison Crowder,WAS,WR,13,9,72,2,5.4,1.5,90.0,1,0,0.0,8.0,5.5,1.1,1,7.7
149,22604,Tylan Wallace,BAL,WR,12,11,193,1,5.6,2.2,91.7,1,1,100.0,17.5,16.1,2.0,1,8.3
150,20679,KhaDarel Hodge,ATL,WR,12,7,131,1,6.8,1.8,77.8,1,0,0.0,18.7,10.9,1.2,1,8.3
151,21686,Jalen Reagor,LAC,WR,12,7,100,0,5.4,1.2,100.0,1,0,0.0,14.3,8.3,1.6,0,0.0
152,18926,Zay Jones,ARI,WR,11,8,84,0,5.5,0.8,266.7,0,0,,10.5,7.6,0.8,0,0.0
153,23166,Rakim Jarrett,TB,WR,11,9,124,0,4.5,1.0,112.5,2,1,50.0,13.8,11.3,1.3,0,0.0
154,20487,Brandon Powell,MIN,WR,10,7,71,0,5.0,1.8,116.7,1,0,0.0,10.1,7.1,0.6,0,0.0
155,21263,Trenton Irwin,CIN,WR,10,3,15,0,5.8,0.7,50.0,3,0,0.0,5.0,1.5,0.2,1,10.0
156,24472,Xavier Gipson,NYJ,WR,10,6,39,1,3.8,1.6,85.7,2,1,50.0,6.5,3.9,0.3,0,0.0
157,20081,Trent Sherfield Sr.,MIN,WR,9,8,83,1,5.2,2.7,100.0,0,0,,10.4,9.2,2.1,0,0.0
158,21138,Scotty Miller,PIT,WR,9,5,69,0,6.2,1.2,100.0,2,1,50.0,13.8,7.7,0.8,0,0.0
159,23144,Ainias Smith,PHI,WR,9,7,41,1,5.5,0.8,233.3,0,0,,5.8,4.5,4.1,0,0.0
160,19755,River Cracraft,MIA,WR,9,7,66,0,5.5,0.6,350.0,0,0,,9.4,7.3,1.6,0,0.0
161,25687,Bryce Oliver,TEN,WR,9,6,95,0,5.9,1.3,120.0,0,0,,15.8,10.6,5.9,0,0.0
162,23469,Tyquan Thornton,NE,WR,8,4,47,0,3.4,2.0,100.0,2,1,50.0,11.8,5.9,0.7,0,0.0
163,21005,Parris Campbell,PHI,WR,8,6,30,1,5.7,0.2,0.0,0,0,,5.0,3.8,2.5,0,0.0
164,23302,Britain Covey,PHI,WR,8,7,34,0,6.7,2.5,100.0,0,0,,4.8,4.2,1.1,0,0.0
165,23119,Treylon Burks,TEN,WR,8,4,34,0,4.7,1.4,66.7,1,0,0.0,8.5,4.2,0.4,1,12.5
166,21349,Ashton Dulin,IND,WR,8,2,67,1,4.9,1.5,66.7,1,0,0.0,33.5,8.4,1.2,0,0.0
167,16837,Chris Conley,SF,WR,8,2,17,0,3.9,0.8,66.7,3,0,0.0,8.5,2.1,0.2,0,0.0
168,16263,Allen Robinson II,DET,WR,7,3,30,0,4.5,0.7,60.0,5,1,20.0,10.0,4.3,0.8,0,0.0
169,19816,DJ Chark,LAC,WR,7,3,25,0,3.5,0.8,100.0,0,0,,8.3,3.6,1.0,0,0.0
170,24984,Jamari Thrash,CLE,WR,7,3,22,0,4.6,1.6,60.0,1,0,0.0,7.3,3.1,0.3,0,0.0
171,22685,Terrace Marshall Jr.,LV,WR,6,3,41,0,3.9,1.5,150.0,0,0,,13.7,6.8,0.7,0,0.0
172,24979,Malachi Corley,NYJ,WR,6,3,16,0,4.4,1.2,100.0,1,0,0.0,5.3,2.7,0.3,0,0.0
173,22627,Ronnie Bell,SF,WR,6,2,22,0,4.0,1.5,66.7,1,0,0.0,11.0,3.7,0.3,1,16.7
174,24343,Nikko Remigio,KC,WR,6,2,48,0,3.0,0.0,0.0,0,0,,24.0,8.0,48.0,0,0.0
175,24981,Jacob Cowing,SF,WR,6,4,80,0,4.8,1.8,100.0,1,0,0.0,20.0,13.3,1.3,0,0.0
176,22892,Tim Jones,JAX,WR,5,3,41,0,4.5,1.8,150.0,2,2,100.0,13.7,8.2,0.9,0,0.0
177,21697,Laviska Shenault Jr.,LAC,WR,5,5,36,0,5.0,3.6,100.0,0,0,,7.2,7.2,1.6,0,0.0
